APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
psort,4,4,2,4035706667,2095604110,1.93,100%,98%,57%,10%,7%,27%,3824360534,34%,31%,33%,0%,2287836616,402661376,1076728098,268480725,134238249,22816,402662556,2094312218,0,TM,0.0469
psort,4,4,4,4032379189,1222408426,3.30,100%,84%,57%,10%,7%,27%,1939052684,34%,32%,32%,0%,2285618348,402661376,1075618152,268481461,67128745,23072,402662652,1222298965,0,TM,0.0937
psort,4,4,8,3361667577,659399228,5.10,100%,79%,68%,12%,4%,16%,1094059422,33%,33%,32%,0%,2283856736,402661376,540905848,134243765,67129369,23584,202096494,659087131,0,TM,0.0937
psort,4,4,16,3029248758,348190787,8.70,100%,76%,75%,13%,2%,9%,649090362,32%,32%,34%,0%,2282841766,402661376,276620847,67124917,67130617,24608,102603533,347739369,0,TM,0.0937
psort,4,4,32,2857617325,362856820,7.88,50%,44%,80%,14%,1%,5%,439252656,35%,28%,36%,0%,2282283160,402661376,139108075,33564862,67131130,25096,51518069,181436058,0,TM,0.0937
psort,4,8,2,4032057006,2356521198,1.71,100%,86%,57%,10%,7%,27%,132397244,3%,8%,88%,0%,2285403530,402661376,1075510771,268481477,134238617,23088,402662700,2356197572,0,TM,0.0469
psort,4,8,4,4029547909,1262365786,3.19,100%,80%,57%,10%,7%,27%,64619391,3%,8%,88%,0%,2283730892,402661376,1074672840,268482949,67129369,23600,402662892,1262092572,0,TM,0.0937
psort,4,8,8,3369835001,652302569,5.17,100%,77%,68%,12%,4%,16%,29554565,4%,10%,85%,0%,2282837746,402661376,550090774,134245253,67130617,24624,204529227,652026599,0,TM,0.0937
psort,4,8,16,3029019647,360425040,8.40,50%,50%,75%,13%,2%,9%,370443469,37%,27%,34%,0%,2282692524,402661376,276540737,67125158,67131130,25104,102603691,180184917,0,TM,0.0937
psort,4,8,32,2857575211,421526717,6.78,25%,34%,80%,14%,1%,5%,227061260,36%,25%,37%,0%,2282262432,402661376,139086434,33565117,67132159,26114,51518228,105415111,0,TM,0.0937
psort,4,16,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,TM,#DIV/0!
